3793,False Arrest,2
3793,Illegal Search,7
3793,Lockup Procedures,1
3793,Operation/Personnel Violations,3
3793,Use Of Force,1
3793,Verbal Abuse,2
3897,Criminal Misconduct,2
3897,Domestic,4
3897,False Arrest,19
3897,Illegal Search,16
3897,Lockup Procedures,9
3897,Operation/Personnel Violations,17
3897,Traffic,3
3897,Use Of Force,27
3897,Verbal Abuse,3
3906,False Arrest,3
3906,Illegal Search,9
3906,Lockup Procedures,1
3906,Operation/Personnel Violations,5
3906,Use Of Force,4
3906,Verbal Abuse,1
3986,Criminal Misconduct,1
3986,False Arrest,7
3986,Illegal Search,12
3986,Lockup Procedures,3
3986,Operation/Personnel Violations,5
3986,Use Of Force,8
3986,Verbal Abuse,1
3987,False Arrest,1
3987,Illegal Search,4
3987,Lockup Procedures,2
3987,Operation/Personnel Violations,2
3987,Use Of Force,1
4036,Criminal Misconduct,1
4036,Domestic,1
4036,False Arrest,1
4036,Illegal Search,5
4036,Lockup Procedures,3
4036,Operation/Personnel Violations,14
4036,Use Of Force,9
4036,Verbal Abuse,1
4072,Illegal Search,1
4072,Operation/Personnel Violations,1
4072,Traffic,2
4078,False Arrest,2
4078,Illegal Search,6
4078,Lockup Procedures,3
4078,Operation/Personnel Violations,3
4078,Use Of Force,7
4118,Conduct Unbecoming (Off-Duty),1
4118,Domestic,2
4118,False Arrest,4
4118,Illegal Search,18
4118,Lockup Procedures,2
4118,Operation/Personnel Violations,16
4118,Supervisory Responsibilities,3
4118,Traffic,1
4118,Use Of Force,10
4118,Verbal Abuse,2
4202,Conduct Unbecoming (Off-Duty),1
4202,False Arrest,2
4202,Illegal Search,3
4202,Operation/Personnel Violations,7
4202,Use Of Force,7
4202,Verbal Abuse,1
4233,Conduct Unbecoming (Off-Duty),10
4233,Criminal Misconduct,4
4233,Domestic,2
4233,Illegal Search,1
4233,Medical,1
4233,Operation/Personnel Violations,16
4233,Use Of Force,8
4233,Verbal Abuse,7
4252,Conduct Unbecoming (Off-Duty),1
4252,Illegal Search,5
4252,Lockup Procedures,6
4252,Operation/Personnel Violations,2
4252,Traffic,1
4252,Use Of Force,5
4332,Conduct Unbecoming (Off-Duty),1
4332,Domestic,4
4332,False Arrest,3
4332,Illegal Search,9
4332,Operation/Personnel Violations,8
4332,Use Of Force,16
4332,Verbal Abuse,1
4333,Illegal Search,2
4333,Lockup Procedures,2
4333,Operation/Personnel Violations,2
4333,Use Of Force,2
4482,False Arrest,6
4482,Lockup Procedures,1
4482,Operation/Personnel Violations,10
4482,Traffic,1
4482,Use Of Force,3
4524,Conduct Unbecoming (Off-Duty),1
4524,False Arrest,2
4524,Illegal Search,1
4524,Lockup Procedures,4
4524,Operation/Personnel Violations,11
4524,Use Of Force,5
4524,Verbal Abuse,1
4538,Bribery / Official Corruption,1
4538,Conduct Unbecoming (Off-Duty),1
4538,Domestic,1
4538,False Arrest,2
4538,Illegal Search,3
4538,Lockup Procedures,1
4538,Money / Property,1
4538,Operation/Personnel Violations,6
4538,Traffic,1
4538,Use Of Force,4
4614,False Arrest,1
4614,Illegal Search,1
4614,Lockup Procedures,1
4614,Operation/Personnel Violations,4
4614,Use Of Force,3
4636,False Arrest,3
4636,Illegal Search,5
4636,Lockup Procedures,2
4636,Operation/Personnel Violations,8
4636,Supervisory Responsibilities,1
4636,Traffic,3
4636,Use Of Force,6
4636,Verbal Abuse,2
4687,False Arrest,1
4687,Illegal Search,4
4687,Use Of Force,1
4841,False Arrest,3
4841,Illegal Search,3
4841,Lockup Procedures,2
4841,Operation/Personnel Violations,4
4841,Use Of Force,1
4844,Conduct Unbecoming (Off-Duty),3
4844,Criminal Misconduct,2
4844,False Arrest,1
4844,Illegal Search,2
4844,Lockup Procedures,2
4844,Operation/Personnel Violations,39
4844,Use Of Force,25
4844,Verbal Abuse,3
4927,Domestic,2
4927,False Arrest,3
4927,Illegal Search,12
4927,Lockup Procedures,2
4927,Money / Property,1
4927,Operation/Personnel Violations,13
4927,Traffic,1
4927,Use Of Force,13
4927,Verbal Abuse,5
4981,Domestic,1
4981,Drug / Alcohol Abuse,1
4981,Operation/Personnel Violations,2
4981,Traffic,1
4981,Use Of Force,2
5004,False Arrest,1
5004,Lockup Procedures,2
5004,Money / Property,1
5004,Operation/Personnel Violations,1
5004,Traffic,2
5037,Domestic,1
5037,Illegal Search,2
5037,Operation/Personnel Violations,3
5057,Illegal Search,2
5057,Lockup Procedures,1
5057,Operation/Personnel Violations,1
5057,Use Of Force,1
5328,Bribery / Official Corruption,1
5328,Conduct Unbecoming (Off-Duty),2
5328,Domestic,2
5328,Drug / Alcohol Abuse,1
5328,False Arrest,2
5328,Illegal Search,6
5328,Lockup Procedures,1
5328,Operation/Personnel Violations,4
5328,Use Of Force,3
5328,Verbal Abuse,1
5332,Bribery / Official Corruption,1
5332,Domestic,2
5332,False Arrest,2
5332,Illegal Search,1
5332,Lockup Procedures,3
5332,Operation/Personnel Violations,4
5332,Traffic,2
5332,Use Of Force,11
5332,Verbal Abuse,2
5430,Illegal Search,3
5430,Lockup Procedures,1
5430,Operation/Personnel Violations,6
5430,Use Of Force,6
5430,Verbal Abuse,8
5571,Bribery / Official Corruption,1
5571,False Arrest,3
5571,Illegal Search,7
5571,Lockup Procedures,8
5571,Money / Property,2
5571,Operation/Personnel Violations,2
5571,Use Of Force,3
5625,Conduct Unbecoming (Off-Duty),2
5625,Domestic,2
5625,False Arrest,5
5625,Illegal Search,5
5625,Lockup Procedures,1
5625,Operation/Personnel Violations,5
5625,Use Of Force,5
5663,Criminal Misconduct,2
5663,Domestic,3
5663,False Arrest,3
5663,Illegal Search,6
5663,Lockup Procedures,2
5663,Operation/Personnel Violations,9
5663,Supervisory Responsibilities,1
5663,Traffic,1
5663,Use Of Force,9
5663,Verbal Abuse,2
5678,False Arrest,1
5678,Illegal Search,1
5678,Lockup Procedures,1
5678,Verbal Abuse,1
5763,Domestic,5
5763,False Arrest,4
5763,Illegal Search,5
5763,Lockup Procedures,2
5763,Operation/Personnel Violations,10
5763,Supervisory Responsibilities,1
5763,Traffic,1
5763,Use Of Force,14
5763,Verbal Abuse,2
5930,False Arrest,1
5930,Illegal Search,2
5930,Lockup Procedures,2
5930,Operation/Personnel Violations,9
5930,Use Of Force,4
5963,Criminal Misconduct,1
5963,False Arrest,1
5963,Lockup Procedures,1
5963,Money / Property,1
5963,Use Of Force,1
6164,Conduct Unbecoming (Off-Duty),1
6164,Illegal Search,5
6164,Operation/Personnel Violations,11
6164,Traffic,1
6164,Use Of Force,6
6164,Verbal Abuse,6
6189,Conduct Unbecoming (Off-Duty),1
6189,Domestic,1
6189,Illegal Search,6
6189,Operation/Personnel Violations,10
6189,Supervisory Responsibilities,1
6189,Traffic,1
6189,Use Of Force,16
6189,Verbal Abuse,4
6211,Domestic,2
6211,Drug / Alcohol Abuse,1
6211,Illegal Search,1
6211,Operation/Personnel Violations,8
6211,Traffic,2
6211,Use Of Force,6
6254,Domestic,2
6254,False Arrest,2
6254,Illegal Search,7
6254,Lockup Procedures,2
6254,Money / Property,1
6254,Operation/Personnel Violations,1
6254,Supervisory Responsibilities,1
6254,Traffic,1
6254,Use Of Force,12
6254,Verbal Abuse,6
6259,Bribery / Official Corruption,1
6259,Criminal Misconduct,1
6259,Illegal Search,2
6259,Use Of Force,1
6264,Illegal Search,3
6264,Lockup Procedures,3
6264,Operation/Personnel Violations,8
6264,Traffic,1
6264,Use Of Force,1
6264,Verbal Abuse,1
6321,Domestic,1
6321,Operation/Personnel Violations,2
6321,Traffic,1
6321,Use Of Force,1
6343,Illegal Search,8
6343,Lockup Procedures,1
6343,Operation/Personnel Violations,27
6343,Traffic,3
6343,Use Of Force,18
6343,Verbal Abuse,3
6376,Conduct Unbecoming (Off-Duty),1
6376,Domestic,1
6376,False Arrest,2
6381,Excessive Force,1
6381,Illegal Search,1
6381,Lockup Procedures,1
6381,Operation/Personnel Violations,9
6381,Use Of Force,4
6381,Verbal Abuse,1
6561,False Arrest,3
6561,Illegal Search,4
6561,Use Of Force,1
6599,False Arrest,1
6599,Illegal Search,1
6599,Lockup Procedures,1
6599,Operation/Personnel Violations,9
6599,Traffic,3
6599,Use Of Force,10
6599,Verbal Abuse,2
6651,False Arrest,3
6651,Illegal Search,6
6651,Lockup Procedures,1
6651,Operation/Personnel Violations,3
6651,Traffic,2
6651,Use Of Force,3
6651,Verbal Abuse,1
6681,Illegal Search,1
6681,Lockup Procedures,1
6681,Money / Property,1
6681,Operation/Personnel Violations,2
6717,False Arrest,1
6717,Lockup Procedures,1
6717,Operation/Personnel Violations,2
6717,Traffic,1
6717,Use Of Force,1
6756,Illegal Search,1
6756,Lockup Procedures,3
6760,Domestic,1
6760,False Arrest,1
6760,Illegal Search,4
6760,Lockup Procedures,1
6760,Operation/Personnel Violations,1
6760,Use Of Force,5
6760,Verbal Abuse,1
6844,Illegal Search,5
6844,Operation/Personnel Violations,3
6844,Racial Profiling,1
6844,Use Of Force,5
6864,False Arrest,2
6864,Illegal Search,1
6864,Lockup Procedures,2
6864,Money / Property,1
6867,False Arrest,2
6867,Lockup Procedures,1
6867,Money / Property,1
6867,Traffic,1
6914,False Arrest,2
6914,Illegal Search,4
6914,Traffic,1
6914,Use Of Force,3
6991,Domestic,1
6991,Lockup Procedures,2
6991,Operation/Personnel Violations,12
6991,Supervisory Responsibilities,1
6991,Traffic,2
6991,Verbal Abuse,1
7124,Criminal Misconduct,1
7124,False Arrest,1
7124,Illegal Search,1
7124,Verbal Abuse,1
7160,Conduct Unbecoming (Off-Duty),1
7160,Criminal Misconduct,1
7160,Domestic,3
7160,Drug / Alcohol Abuse,1
7160,Illegal Search,6
7160,Operation/Personnel Violations,11
7160,Traffic,1
7160,Use Of Force,8
7260,Illegal Search,1
7260,Lockup Procedures,2
7260,Medical,1
7260,Operation/Personnel Violations,6
7260,Supervisory Responsibilities,2
7260,Unknown,1
7260,Use Of Force,3
7260,Verbal Abuse,2
7387,Criminal Misconduct,1
7387,Illegal Search,1
7387,Traffic,2
7590,False Arrest,6
7590,Illegal Search,11
7590,Operation/Personnel Violations,1
7590,Use Of Force,4
7590,Verbal Abuse,1
7603,Domestic,2
7603,False Arrest,7
7603,Illegal Search,9
7603,Lockup Procedures,3
7603,Operation/Personnel Violations,1
7603,Use Of Force,12
7659,Domestic,1
7659,False Arrest,1
7659,Lockup Procedures,1
7659,Operation/Personnel Violations,8
7659,Traffic,6
7659,Use Of Force,6
7659,Verbal Abuse,1
7862,Bribery / Official Corruption,1
7862,Conduct Unbecoming (Off-Duty),1
7862,Criminal Misconduct,2
7862,False Arrest,2
7862,Illegal Search,4
7862,Lockup Procedures,2
7862,Money / Property,1
7862,Operation/Personnel Violations,8
7862,Supervisory Responsibilities,1
7862,Traffic,1
7862,Use Of Force,3
7862,Verbal Abuse,1
7961,False Arrest,2
7961,Illegal Search,2
7972,False Arrest,1
7972,Illegal Search,4
7972,Lockup Procedures,3
7972,Operation/Personnel Violations,9
7972,Traffic,2
7972,Use Of Force,9
7972,Verbal Abuse,1
8008,False Arrest,1
8008,Illegal Search,2
8008,Operation/Personnel Violations,5
8008,Use Of Force,3
8008,Verbal Abuse,1
8041,False Arrest,8
8041,Illegal Search,4
8041,Operation/Personnel Violations,3
8041,Use Of Force,2
8064,False Arrest,1
8064,Illegal Search,2
8064,Lockup Procedures,2
8138,Conduct Unbecoming (Off-Duty),7
8138,Criminal Misconduct,3
8138,Domestic,2
