id,gender,race,rank,age,career_length,complaint_percentile,civilian_allegation_percentile,honorable_mention_percentile,internal_allegation_percentile,allegation_count,sustained_count,civilian_compliment_count,discipline_count,honorable_mention_count,major_award_count,trr_count,unsustained_count,number_of_awards,salary
27935,M,White,Sergeant of Police,52,28,97.9710,97.0052,75.1011,0.0000,61,2,20,1,27,0,8,41,61,111474
7226,M,Black,Police Officer / Field Training Officer,64,34,92.9074,94.2324,74.3820,93.4649,43,3,1,3,18,0,14,20,29,90540
11822,M,Black,Police Officer,58,29,74.0935,61.9992,65.1810,79.9133,20,2,2,2,13,0,0,7,21,95106
6929,M,White,Police Officer (Per Arbitration Award),65,39,77.9866,44.8587,0.0000,96.7970,23,15,0,13,0,0,0,3,2,87888
19413,M,Black,Police Officer as Detective,70,44,84.4828,38.7874,78.8271,0.0000,24,0,2,0,6,0,0,14,10,82746
17544,M,Hispanic,Police Officer as Detective,63,37,94.4763,87.7730,77.4157,0.0000,50,1,1,1,22,0,3,35,36,93192
9503,M,White,Lieutenant of Police,69,44,84.1179,75.1916,0.0000,89.3287,28,3,3,3,0,0,0,18,6,84630
8628,M,White,Police Officer,50,22,99.5033,99.4519,96.4874,79.9133,66,0,4,0,115,0,33,34,161,90024
32367,M,Black,Sergeant of Police,57,30,81.6400,72.3141,70.6407,61.1521,26,0,1,0,20,0,4,7,49,111474
23873,M,White,Lieutenant of Police,66,29,72.1459,64.1440,70.9519,70.6114,18,0,12,0,16,3,0,11,50,82098
26425,M,Black,Police Officer,60,34,71.4778,57.3040,55.8395,0.0000,19,1,0,1,2,0,0,9,4,81252
24307,F,Black,Police Officer,77,40,82.3804,89.8983,0.0000,87.5236,22,3,0,2,10,0,0,11,10,74328
20402,M,White,Police Officer,65,27,77.1369,71.3189,76.1121,93.4649,18,3,1,3,15,0,2,9,21,80724
27102,F,Hispanic,Police Officer,51,28,90.5086,92.8393,79.9981,79.9133,33,0,4,0,38,1,7,11,53,83706
11533,M,White,Police Officer,64,34,90.7206,92.1189,81.5414,0.0000,38,2,4,2,33,0,7,20,71,86130
