officer_id,avg_coaccusals,avg_years_on_force_at_incident,avg_age_at_incident,gender,avg_complaint_percentile,avg_disciplined_count,cohort_id,avg_allegation_severity,max_allegation_severity
29293,2.5,3.5,30.5,1,89.5799,0,3,12.27,16.59
29294,3,28.666666666666668,53.666666666666664,1,42.2398,0,3,4.0366666666666667,6.3
29295,1.3333333333333333,18.333333333333332,45.333333333333336,1,24.6875,0.33333333333333333333,3,5.74,7.66
29296,3.4285714285714286,22.571428571428573,50.57142857142857,0,51.1559,0,2,6.4528571428571429,9.6
29297,2.6507936507936508,5.984126984126984,30.984126984126984,1,99.6064,0.14285714285714285714,1,10.6706349206349206,20.52
29299,4.6315789473684211,7.605263157894737,35.60526315789474,1,94.0812,0.02631578947368421053,2,12.5465789473684211,16.59
29300,2,7.333333333333333,38.333333333333336,1,39.005,0.33333333333333333333,3,14.9366666666666667,20.52
29304,1.875,10.375,42.375,0,35.5241,0.25,3,5.525,15.51
29309,2.5,7.166666666666667,34.166666666666664,1,37.4537,0,3,6.5683333333333333,9.6
29310,2.92,7.4,30.4,1,93.489,0.04,2,12.0366666666666667,16.59
29311,3.125,8.5625,34.5625,1,61.5758,0.0625,2,11.46875,16.59
29312,2.6111111111111111,14.277777777777779,44.27777777777778,1,69.3658,0.11111111111111111111,3,9.3616666666666667,16.59
29316,3,2.6,25.6,0,38.6229,0,3,5.792,9.6
29317,2,35,57,1,28.3611,0,3,5.89,5.89
29318,4,21,48,1,14.482,0,3,6.3,6.3
29319,2,21.5,50.5,1,67.5069,0,3,3.535,6.3
29320,4.1111111111111111,13.11111111111111,48.111111111111114,1,63.0539,0,2,9.6077777777777778,16.59
29321,1.8,7.4,41.4,1,95.3466,0.08,2,9.0672,17.67
29322,3.875,7.75,41.75,1,64.7587,0.0625,2,9.8725,16.59
29324,3.1538461538461538,6.461538461538462,38.46153846153846,0,60.6358,0.07692307692307692308,2,9.3569230769230769,17.67
29326,3.375,4.75,44.75,0,62.3831,0.25,2,5.77,16.59
29327,4.3181818181818182,20.318181818181817,43.31818181818182,1,84.4956,0.09090909090909090909,1,9.8436363636363636,16.59
29330,5.5,3,30,1,44.4003,0,3,8.91,9.6
29331,2.6666666666666667,10.5,45.5,1,56.3448,0.08333333333333333333,2,8.1016666666666667,14.73
29332,3.5625,6.1875,34.1875,1,75.8779,0.125,3,6.363125,16.59
29333,2.75,2.5,29.5,1,32.6239,0,3,7.8475,9.6
29335,2.4,29.6,54.6,1,57.6695,0.2,3,7.912,16.59
29336,5.5,8.5,35.5,1,22.0397,0,2,11.51,13.42
29338,2,7,29,0,24.3514,0,3,3.535,6.3
29339,2,21,48,1,40.9411,0,3,10.265,13.42
29340,7.5,3,33,1,0,0,3,8.68,16.59
29341,2.875,13.25,38.25,1,38.1338,0.125,3,11.01625,17.67
29342,1,35,57,1,20.2041,1,3,17.67,17.67
29343,2.9230769230769231,7.615384615384615,29.615384615384617,1,59.394,0.07692307692307692308,2,10.0523076923076923,16.59
29344,6.3846153846153846,7,30,1,82.1444,0,2,6.4015384615384615,9.6
29346,2,4,43,0,27.5267,0,3,5.185,9.6
29347,3.4210526315789474,6.842105263157895,30.842105263157894,1,89.4578,0.05263157894736842105,2,8.4615789473684211,16.59
29348,1.5,8,36,0,17.8493,0,3,3.535,6.3
29349,2.6363636363636364,9.181818181818182,43.18181818181818,1,57.987,0.09090909090909090909,2,9.6190909090909091,16.59
29350,1.4,14.6,41.6,1,40.2436,0,3,9.442,16.59
29351,1.6666666666666667,13.833333333333334,39.833333333333336,1,34.0661,0,3,3.9366666666666667,6.3
29353,2.6666666666666667,22.666666666666668,52.666666666666664,1,75.7516,0,3,11.93,16.59
29355,3.3333333333333333,8.380952380952381,32.38095238095238,1,82.4424,0,2,9.2885714285714286,16.59
29356,2.45,6.95,40.95,0,80.3217,0.05,3,8.6905,16.59
29359,1.3333333333333333,3.6666666666666665,34.666666666666664,0,50.3229,0,3,6.095,6.3
29360,2.0769230769230769,17.923076923076923,46.92307692307692,1,66.3234,0.07692307692307692308,2,7.7553846153846154,17.67
29361,2.1666666666666667,4.666666666666667,31.666666666666668,0,57.942,0.16666666666666666667,2,5.9066666666666667,9.6
29362,2.6764705882352941,5.617647058823529,35.61764705882353,1,92.5009,0.11764705882352941176,2,12.2997058823529412,17.67
29363,3.6666666666666667,3.6666666666666665,34.666666666666664,1,58.7559,0,3,3.7,9.56
29364,6,6,30,1,20.2361,0,3,9.56,9.56
29369,2.4444444444444444,7,40,1,70.0778,0,2,3.1488888888888889,6.3
29370,1,19,44,1,0,0,3,16.59,16.59
29371,1.875,7.9375,38.9375,1,65.598,0.0625,2,13.054375,42.38
29372,2.2222222222222222,9.222222222222221,46.22222222222222,1,57.2466,0.44444444444444444444,3,3.9322222222222222,7.11
29373,5,2.5,29.5,1,41.0263,0.5,3,10.92,14.73
29374,2.1764705882352941,7.264705882352941,34.26470588235294,1,88.579,0.02941176470588235294,2,7.5332352941176471,16.59
29375,3.48,8.64,32.64,1,96.5676,0.04,2,9.9516,17.67
29376,1.8,5.4,42.4,0,34.7356,0,3,6.666,11.37
29377,9.75,6.25,29.25,1,35.5432,0,2,9.31,13.42
29378,2.1666666666666667,4,32,1,77.0395,0,2,6.9183333333333333,16.59
29379,3.25,4.875,29.875,1,74.5252,0.125,2,7.30125,15.51
29380,3.1052631578947368,7.2631578947368425,41.26315789473684,1,82.003,0.05263157894736842105,2,9.8805555555555556,16.59
29381,5,7,48,1,18.2498,0,3,3.94,7.11
29382,2.6363636363636364,11.818181818181818,38.81818181818182,0,48.718,0.18181818181818181818,2,9.8090909090909091,42.38
29384,2.2692307692307692,7.115384615384615,36.11538461538461,1,91.1964,0.11538461538461538462,2,8.2392307692307692,16.59
29385,2,3,31,1,39.8609,0.5,2,3.535,6.3
29388,3.3333333333333333,11.4,36.4,0,63.5778,0.2,2,9.994,42.38
29389,4.7368421052631579,17.842105263157894,42.8421052631579,1,68.0754,0.05263157894736842105,2,8.6557894736842105,16.59
29390,3.6666666666666667,5.666666666666667,30.666666666666668,1,30.5644,0.33333333333333333333,3,9.7733333333333333,13.42
29391,5.3333333333333333,19,44,1,48.6224,0.16666666666666666667,3,7.365,13.42
29392,3.75,5.75,31.75,1,30.4688,0,3,11.9975,16.59
29395,1.8888888888888889,7,36,1,71.7392,0.22222222222222222222,2,12.2733333333333333,23.21
