gender,race,allegation_count,sustained_count,honorable_mention_count,unsustained_count,discipline_count,civilian_compliment_count,trr_count,major_award_count,current_salary
M,White,52,0,9,29,0,4,1,0,100980
M,White,52,1,5,35,0,3,1,0,90540
M,Hispanic,52,0,36,22,0,3,2,1,93354
M,Black,51,9,43,26,9,5,5,0,111474
M,White,51,0,29,25,0,5,15,0,93354
M,White,51,1,2,23,1,0,1,0,70656
M,White,51,1,25,22,1,8,20,0,107988
M,White,51,0,21,23,0,9,2,0,96060
M,White,51,3,72,16,3,7,59,1,101442
M,White,51,1,63,12,1,2,40,0,104628
M,White,51,3,53,25,3,2,4,0,96060
M,White,51,1,52,19,1,4,6,0,93354
M,White,51,2,27,20,1,13,1,1,90024
M,Hispanic,51,2,38,28,2,6,8,0,100980
M,White,51,1,10,24,1,10,0,0,104628
M,Hispanic,51,7,13,13,7,2,13,0,117954
M,Hispanic,50,2,18,25,2,8,15,0,107988
F,White,50,5,4,24,4,11,0,0,90024
M,White,50,1,17,18,1,6,14,0,104628
M,White,50,2,2,32,2,4,1,2,100980
F,Black,50,28,3,18,28,0,0,0,
M,Hispanic,50,2,1,38,2,0,0,0,
M,White,50,4,94,23,1,4,10,1,92316
M,White,50,0,105,15,0,8,5,3,90024
M,Hispanic,50,0,55,19,0,7,1,2,104628
M,White,50,1,182,15,1,5,40,0,97440
M,White,50,2,74,16,2,1,7,0,104628
M,White,50,1,6,31,1,1,18,0,96060
M,Hispanic,50,4,32,27,2,1,2,0,83706
M,White,50,0,6,29,0,13,4,0,127596
M,Hispanic,50,8,24,26,8,0,3,0,85278
M,Black,50,12,7,23,11,9,3,0,100980
M,Hispanic,50,2,82,20,2,3,3,1,93354
M,White,50,10,6,27,9,1,5,0,93354
M,Black,50,3,16,31,1,17,20,0,111474
M,Black,50,5,7,22,5,3,21,1,89130
M,Black,50,3,36,38,3,5,5,0,89718
M,Hispanic,50,1,67,26,1,4,22,0,90024
M,Black,50,1,7,33,1,2,4,0,93354
M,Hispanic,50,1,22,35,1,1,3,0,93192
M,White,50,1,29,35,0,3,2,0,107988
M,Black,49,3,32,21,3,4,5,0,101442
M,White,49,0,74,31,0,7,23,0,107988
M,Black,49,9,5,35,8,10,1,0,96060
M,Hispanic,49,2,43,24,1,1,5,0,96060
M,Black,49,3,44,37,2,5,0,0,99756
M,Black,49,4,1,41,4,2,0,0,93192
M,White,49,0,3,18,0,0,0,0,64662
M,White,49,2,60,24,2,0,5,0,93354
M,White,49,6,10,26,6,3,1,1,85278
M,White,49,1,27,20,1,2,2,0,111474
M,White,49,1,49,20,1,8,11,0,93354
M,Black,49,2,5,27,1,2,3,0,93354
F,Black,49,7,1,33,7,0,0,0,83706
M,Black,49,5,123,24,6,2,9,0,90024
M,Hispanic,49,2,84,26,1,6,1,0,107988
M,White,49,3,34,26,2,5,5,1,96060
M,Black,49,1,34,41,1,12,0,0,185364
M,Black,49,11,6,28,11,1,0,0,69264
M,White,49,0,14,16,0,4,2,0,98016
M,White,49,0,70,8,0,6,3,0,90024
M,Black,49,2,3,41,3,0,0,0,
M,White,49,3,23,37,2,6,5,0,96060
M,Asian/Pacific,49,2,2,38,2,5,0,0,103932
M,Hispanic,49,0,9,31,0,14,0,0,103932
M,White,49,1,17,14,1,14,7,0,93354
M,White,49,2,0,28,2,2,0,0,99888
M,White,49,1,72,26,1,4,8,0,93354
M,Black,49,2,33,14,2,4,8,0,90024
M,White,49,6,12,25,6,2,20,1,96060
M,Black,49,2,11,34,1,0,2,1,78006
M,White,49,3,77,29,3,12,7,2,121464
M,White,49,2,19,29,2,6,4,1,93354
M,White,48,2,79,22,2,2,7,1,93354
M,Hispanic,48,2,127,14,2,4,31,1,87006
M,White,48,2,12,14,1,3,3,0,110370
M,White,48,1,118,31,2,19,30,1,121464
M,White,48,1,1,38,1,0,1,0,87354
M,Black,48,5,2,33,5,1,6,1,96060
M,White,48,1,1,39,0,0,3,0,70656
M,White,48,3,1,35,3,0,0,0,70656
M,White,48,2,15,31,1,7,6,0,110370
M,White,48,1,91,14,1,3,22,1,104628
M,Black,48,2,14,30,2,3,3,0,96648
M,Black,48,3,10,31,3,7,1,0,95106
M,Hispanic,48,3,79,15,2,4,10,0,111474
M,Hispanic,48,1,10,30,1,9,0,0,103932
M,White,48,5,2,31,3,0,0,0,
M,White,48,2,12,27,2,12,36,2,89718
M,White,48,1,169,25,3,4,12,0,93354
M,Hispanic,48,2,29,21,2,3,8,0,98052
M,Hispanic,48,4,25,20,2,5,7,1,102978
M,White,48,2,31,30,0,14,4,2,125190
M,Black,48,8,13,25,7,2,7,0,111474
M,White,48,0,80,22,0,4,7,0,89130
M,White,48,3,2,35,3,0,0,0,
M,Black,48,1,6,37,1,6,0,0,75816
M,White,48,0,2,34,0,1,2,0,67326
M,Black,48,0,16,38,0,5,0,0,96060
M,White,48,0,65,21,0,5,11,0,104628
M,White,48,0,35,23,0,1,9,0,107988
M,White,48,1,78,22,1,5,13,0,93354
M,White,48,0,40,21,0,3,3,0,97440
M,Asian/Pacific,48,1,15,29,1,2,5,0,96060
M,White,48,2,33,33,2,5,2,0,103932
M,Asian/Pacific,47,0,29,37,0,5,0,1,96060
M,White,47,0,62,7,0,6,23,2,93354
M,White,47,1,94,24,0,4,8,1,86130
M,White,47,2,41,22,1,0,4,0,75726
M,Black,47,1,4,30,1,4,3,0,81252
M,White,47,1,9,39,1,3,0,0,69264
M,White,47,2,6,24,2,2,3,0,93192
M,White,47,3,4,24,3,3,0,1,107988
M,White,47,2,18,32,2,7,13,0,95106
M,White,47,0,55,21,0,4,4,1,104628
M,Hispanic,47,3,20,21,2,2,8,0,90024
M,Black,47,7,2,35,6,0,0,0,89142
M,White,47,3,1,38,3,0,0,0,
M,Hispanic,47,4,28,25,4,3,18,0,95106
M,Black,47,2,61,22,2,3,3,0,96060
M,Black,47,6,12,30,5,13,3,0,96060
M,White,47,5,6,31,5,4,0,0,103932
M,Hispanic,47,0,58,26,0,1,2,0,93354
M,Black,47,4,10,33,4,3,0,1,75816
