race,rank,allegation_count,civilian_compliment_count,current_badge,current_salary,honorable_mention_count,unsustained_count
White,Police Officer,11,2,19525,87006,76,4
White,Sergeant of Police,27,3,961,109278,2,18
Black,Police Officer,11,1,2877,93354,18,6
Hispanic,Police Officer,10,8,15827,96060,19,10
Black,Police Officer,11,13,9892,95106,12,4
Hispanic,Police Officer,1,0,9198,68616,3,0
Black,Police Officer,27,1,8776,90024,3,13
White,Sergeant of Police,21,3,2033,110370,13,10
White,Police Officer,9,1,12392,66906,4,7
White,Police Officer,5,2,16239,84054,45,1
White,Sergeant of Police,45,1,1438,98766,56,29
Black,Police Officer,2,3,4560,90024,13,0
Black,Police Officer,7,1,1374,90024,10,4
White,Police Officer,11,0,8332,63396,3,6
Hispanic,Police Officer,59,1,12877,90024,142,17
Hispanic,Sergeant of Police,42,3,2530,107988,69,10
White,Police Officer,15,6,10317,93354,12,10
White,Lieutenant of Police,19,7,249,125190,10,13
Black,Police Officer,7,1,17676,86142,14,1
White,Police Officer,43,3,10026,96060,51,27
White,Police Officer,3,0,13949,68262,9,2
White,Police Officer,5,5,15458,87006,21,1
Hispanic,Police Officer,2,1,9967,90024,6,0
White,Police Officer,17,4,8802,90024,104,2
White,Police Officer,10,1,18449,90024,29,1
White,Police Officer as Detective,8,3,21265,103932,2,6
Black,Police Officer,5,15,11122,95106,8,2
Hispanic,Police Officer,5,1,5050,87006,52,0
Black,Police Officer,0,0,15852,76266,7,0
Black,Police Officer,18,5,7889,87006,103,3
White,Police Officer,18,3,13956,90024,42,4
White,Police Officer,0,0,17649,48078,0,0
Black,Police Officer,3,1,12585,96060,0,0
White,Police Officer as Detective,23,14,20562,103932,2,11
White,Police Officer,1,6,9431,87006,14,0
Black,Police Officer,7,4,4074,95106,7,3
White,Police Officer,11,5,19156,90024,21,2
Hispanic,Police Officer,7,5,8873,90024,42,0
Hispanic,Police Officer,15,1,18972,93354,18,9
White,Police Officer,9,3,12157,93354,9,4
White,Police Officer,4,3,17233,90024,14,1
Unknown,Police Officer,0,0,14751,48078,2,0
Black,Police Officer,2,3,10074,84054,38,0
White,Police Officer,27,9,5304,87006,310,0
White,Police Officer,0,1,15393,90024,6,0
White,Police Officer / Field Training Officer,12,2,8979,79632,5,7
Black,Police Officer,1,0,9164,68616,0,0
White,Police Officer Assigned Evidence Technician,10,2,2972,94524,40,9
White,Police Officer Assigned Canine Handler,14,1,10828,99978,26,11
Asian/Pacific,Sergeant of Police,9,7,2514,104628,61,2
Black,Police Officer,2,2,10738,90024,2,0
Black,"",21,4,18295,111252,3,13
White,Police Officer,11,3,10823,87006,55,3
Black,Police Officer,10,5,16354,87006,21,1
White,Police Officer as Detective,11,6,21284,100980,3,6
White,Police Officer,17,1,15418,96060,3,10
Black,Police Officer,5,3,19872,90024,3,2
White,Police Officer as Detective,6,2,20726,100980,3,4
White,Police Officer,16,7,10130,96060,45,4
White,Police Officer,15,1,16162,87006,41,3
Black,Police Officer,15,5,19948,92430,8,5
White,Police Officer,0,0,8368,68616,2,0
Hispanic,Police Officer,0,0,9066,68616,1,0
Hispanic,Police Officer,5,1,19792,93354,8,1
Hispanic,Sergeant of Police,20,4,2040,111474,18,9
Black,Police Officer,39,1,11029,96060,14,23
Black,Police Officer,16,1,5921,95106,10,10
Hispanic,Police Officer,0,0,18729,72510,4,0
Hispanic,Police Officer,8,1,4341,96060,3,5
White,Police Officer as Detective,17,2,21778,97440,9,6
White,Police Officer,0,0,17336,72510,5,0
Black,Police Officer,16,2,6587,89718,15,9
Black,Police Officer,8,9,19479,93354,5,1
White,Police Officer,3,1,19905,87006,45,2
Hispanic,"",1,0,19649,48078,0,0
White,Police Officer,5,3,6115,90024,64,2
Black,Police Officer,40,3,10128,96060,19,23
Black,Police Officer,10,5,19928,80724,1,6
Black,Police Officer,13,2,13874,90024,33,4
Hispanic,"",0,0,9697,48078,0,0
Hispanic,Police Officer,5,4,20582,94122,64,2
Black,Police Officer,7,1,11614,96060,5,3
Black,Police Officer,3,4,16144,87006,14,1
Black,Explosives Tech I,11,9,20405,111252,1,8
White,Police Officer,22,7,4016,90024,37,7
Hispanic,Police Officer,57,4,4808,96060,25,19
White,Police Officer Assigned Traffic Specialist,20,5,19012,98052,16,13
Black,Police Officer,15,1,11771,93354,19,4
