,officer_id,avg_coaccusals,avg_years_on_force_at_incident,avg_age_at_incident,gender,avg_complaint_percentile,avg_disciplined_count,cohort_id,avg_allegation_severity,max_allegation_severity,compound,neg,neu,pos
4822,6986,2.1333333333333333,4.8,32.8,1,77.3757,0.0,2,7.447333333333333,16.59,,,,
4824,6988,2.333333333333333,1.3333333333333333,33.333333333333336,1,46.861000000000004,0.0,3,11.31,14.73,,,,
4825,6989,4.0,8.0,37.0,0,26.0665,0.0,3,9.6,9.6,,,,
4826,6990,3.0,6.590909090909091,38.59090909090909,1,90.69200000000001,0.045454545454545456,2,7.284545454545454,16.59,,,,
4827,6991,2.05,8.75,43.75,1,85.6826,0.05,2,5.448947368421053,15.0,,,,
4830,6994,1.5,16.25,43.25,1,32.2809,0.0,2,6.915,15.0,,,,
4833,6999,4.0,2.5,39.5,1,97.4442,0.0,2,10.81333333333333,16.59,,,,
4835,7001,1.5,3.25,31.25,1,34.1752,0.0,3,9.63,14.73,,,,
4836,7002,4.666666666666666,2.6666666666666665,34.666666666666664,1,0.0,0.0,3,3.9766666666666666,10.39,,,,
4837,7003,9.0,3.0,33.0,1,0.0,0.0,3,10.39,10.39,,,,
4838,7004,2.2,4.6,34.6,1,36.3914,0.0,2,7.936,9.6,,,,
4839,7005,96.5,19.5,40.5,1,67.535,0.5,3,7.37,7.66,,,,
4841,7009,1.75,10.25,39.25,1,19.1242,0.0,3,2.1525,6.3,,,,
4844,7014,6.0,3.0,29.0,1,15.6079,0.0,3,16.59,16.59,,,,
4847,7017,2.0,12.0,35.0,0,16.1553,0.0,3,6.3,6.3,,,,
4849,7020,2.25,5.25,36.25,1,71.3576,0.0,2,6.37875,14.73,,,,
4853,7028,2.5,5.125,30.125,1,83.7759,0.25,2,10.45375,16.59,,,,
4855,7030,2.5,4.5,46.5,0,26.8573,0.0,3,5.185,9.6,,,,
4856,7031,4.0,23.0,51.0,1,0.0,0.0,3,42.38,42.38,,,,
4857,7032,6.84,7.32,32.32,1,90.3672,0.04,2,10.3,20.52,,,,
4859,7035,3.363636363636364,3.727272727272727,30.72727272727273,1,73.0771,0.0,2,10.033999999999999,16.59,,,,
4862,7040,2.2,5.2,28.2,1,39.6049,0.0,3,8.29,11.37,,,,
4864,7043,6.222222222222222,5.777777777777778,29.777777777777782,1,93.829,0.0,2,8.785294117647059,9.6,,,,
4866,7045,4.5,6.9,29.9,1,92.7553,0.0,1,9.651,16.59,,,,
4867,7046,3.5384615384615383,10.923076923076923,43.92307692307693,1,58.7489,0.07692307692307693,2,10.547692307692307,16.59,,,,
4869,7048,2.142857142857143,4.714285714285714,43.714285714285715,1,61.7936,0.14285714285714285,3,3.1157142857142857,6.3,,,,
4875,7059,11.0,29.5,53.5,1,24.2024,0.5,3,9.405,17.67,,,,
4878,7065,2.0,28.25,49.25,1,30.1537,0.5,3,7.0375,9.6,,,,
4882,7072,1.88,6.6,32.6,1,98.8843,0.02,2,8.5398,16.59,,,,
4884,7075,1.0,25.0,46.0,1,29.1995,0.25,3,6.535,9.6,,,,
4885,7077,4.0,1.5,33.5,1,56.2355,0.0,3,10.905,15.51,,,,
4887,7079,2.5,4.0,34.0,1,0.0,0.0,3,5.185,9.6,,,,
4888,7080,5.0,3.0,29.0,1,36.1354,0.0,3,13.42,13.42,,,,
4891,7083,2.0,5.0,35.0,1,0.0,0.0,3,9.56,9.56,,,,
4892,7084,7.0,29.8,52.8,1,46.8017,0.4,2,11.808,15.51,,,,
4893,7086,3.0,18.0,40.0,1,19.6379,0.0,3,16.59,16.59,,,,
4894,7090,2.0,14.0,48.0,0,33.5662,0.0,3,13.2325,19.9,,,,
4895,7092,1.5,5.5,38.5,1,17.3231,0.0,3,8.865,16.59,,,,
4897,7094,2.0,18.5,47.5,1,22.6208,0.25,3,17.9275,42.38,,,,
4899,7097,4.5,21.5,43.5,1,24.7193,0.5,3,11.445,16.59,,,,
4900,7098,3.1333333333333333,7.466666666666668,41.46666666666667,1,70.5055,0.06666666666666667,2,10.828666666666665,42.38,,,,
4902,7100,1.6666666666666667,2.333333333333333,29.33333333333333,1,65.2096,0.0,3,12.19,14.73,,,,
4904,7106,2.928571428571429,10.428571428571429,35.42857142857143,1,67.8652,0.0,2,11.013076923076925,16.59,,,,
4905,7107,4.0,1.0,28.0,0,60.1085,0.0,3,9.6,9.6,,,,
4906,7108,2.142857142857143,4.285714285714286,33.285714285714285,1,58.0452,0.0,2,8.437142857142858,16.59,,,,
4907,7110,6.571428571428571,5.571428571428571,30.57142857142857,1,60.7084,0.14285714285714285,2,12.127142857142855,16.59,,,,
4908,7111,2.0,27.0,53.0,1,38.6431,0.0,3,7.57,16.59,,,,
4910,7113,2.0,9.8,40.8,1,64.4033,0.0,2,7.8711111111111105,9.6,,,,
