gender,race,appointed_date,rank,birth_year,resignation_date,complaint_percentile,civilian_allegation_percentile,honorable_mention_percentile,internal_allegation_percentile,trr_percentile,allegation_count,sustained_count,civilian_compliment_count,current_badge,current_salary,discipline_count,honorable_mention_count,last_unit_id,major_award_count,trr_count,unsustained_count,has_unique_name
F,White Hispanic,8/27/2018,Police Officer,1991,,,,,,,,,,18999,,,,,,,,TRUE
M,White Hispanic,4/16/2018,Police Officer,1995,,,,,,,,,,17355,,,,,,,,FALSE
M,White,7/27/2018,Police Officer,1991,,,,,,,,,,5037,,,,,,,,FALSE
M,Unknown,3/16/2018,Police Officer,1995,,,,,,,,,,3206,,,,,,,,FALSE
F,White,12/17/2018,Police Officer,1992,,,,,,,,,,13046,,,,,,,,TRUE
M,Asian/Pacific Islander,9/27/2018,Police Officer,1988,,,,,,,,,,6606,,,,,,,,TRUE
M,Asian/Pacific Islander,11/27/2018,Police Officer,1989,,,,,,,,,,12834,,,,,,,,TRUE
F,Unknown,12/27/2018,Police Officer,1993,,,,,,,,,,4043,,,,,,,,TRUE
M,Black,4/16/2019,Police Officer,1992,,,,,,,,,,18106,,,,,,,,TRUE
F,White,8/27/2018,Police Officer,1990,,,,,,,,,,14129,,,,,,,,TRUE
M,Black,12/17/2018,Police Officer,1992,,,,,,,,,,10793,,,,,,,,TRUE
F,White Hispanic,10/29/2018,Police Officer,1991,,,,,,,,,,6256,,,,,,,,TRUE
F,Black,2/19/2019,Police Officer,1996,,,,,,,,,,18046,,,,,,,,TRUE
M,Black,4/16/2018,Police Officer,1991,,,,,,,,,,6554,,,,,,,,TRUE
M,White,4/16/2018,Police Officer,1996,,,,,,,,,,5643,,,,,,,,TRUE
M,Asian/Pacific Islander,8/27/2018,Police Officer,1983,,,,,,,,,,19343,,,,,,,,TRUE
M,White,5/16/2018,Police Officer,1997,,,,,,,,,,13696,,,,,,,,TRUE
M,White,5/16/2018,Police Officer,1984,,,,,,,,,,7636,,,,,,,,TRUE
M,White,4/16/2018,Police Officer,1988,,,,,,,,,,6298,,,,,,,,TRUE
F,White Hispanic,9/27/2018,Police Officer,1990,,,,,,,,,,6810,,,,,,,,TRUE
F,White Hispanic,11/27/2018,Police Officer,1989,,,,,,,,,,8436,,,,,,,,TRUE
M,White,8/27/2018,Police Officer,1995,8/23/2019,,,,,,,,,9431,,,,,,,,TRUE
M,White,10/29/2018,Police Officer,1995,6/5/2019,,,,,,,,,4587,,,,,,,,TRUE
M,White,3/16/2018,Police Officer,1996,7/25/2019,,,,,,,,,15111,,,,,,,,TRUE
F,White,11/27/2018,Police Officer,1989,9/12/2019,,,,,,,,,4665,,,,,,,,TRUE
M,White Hispanic,3/16/2018,Police Officer,1994,4/5/2019,,,,,,,,,9804,,,,,,,,TRUE
M,Unknown,3/16/2018,Police Officer,1986,10/10/2018,,,,,,,,,16589,,,,,,,,TRUE
M,White,3/16/2018,Police Officer,1992,1/2/2019,,,,,,,,,18756,,,,,,,,TRUE
F,White Hispanic,11/27/2018,Police Officer,1990,6/21/2019,,,,,,,,,18755,,,,,,,,TRUE
M,White Hispanic,6/25/2018,Police Officer,1988,4/10/2019,,,,,,,,,5312,,,,,,,,TRUE
M,Black,4/16/2018,Police Officer,1987,6/25/2019,,,,,,,,,5854,,,,,,,,TRUE
M,White,2/19/2019,Police Officer,1996,10/10/2019,,,,,,,,,18053,,,,,,,,TRUE
M,White,6/25/2018,Police Officer,1996,4/18/2019,,,,,,,,,5451,,,,,,,,TRUE
M,White,9/27/2018,Police Officer,1993,10/17/2019,,,,,,,,,12771,,,,,,,,TRUE
M,White,9/27/2018,Police Officer,1996,11/15/2019,,,,,,,,,5358,,,,,,,,TRUE
M,White,4/16/2018,Police Officer,1984,1/18/2019,,,,,,,,,6575,,,,,,,,TRUE
M,Unknown,3/16/2018,Police Officer,1981,9/4/2019,,,,,,,,,10558,,,,,,,,TRUE
M,White Hispanic,8/27/2018,Police Officer,1996,8/19/2019,,,,,,,,,19784,,,,,,,,TRUE
M,Black,4/16/2018,Police Officer,1988,11/21/2018,,,,,,,,,16961,,,,,,,,TRUE
M,Black,6/25/2018,Police Officer,1992,7/18/2019,,,,,,,,,4924,,,,,,,,TRUE
M,White,12/27/2018,Police Officer,1985,11/5/2019,,,,,,,,,15069,,,,,,,,TRUE
M,Asian/Pacific Islander,6/25/2018,Police Officer,1986,3/6/2019,,,,,,,,,5638,,,,,,,,TRUE
M,White,11/30/1998,Detective,1973,,62.1757,65.6966,62.9589,0,63.0035,10,0,7,21194,97440,0,8,151,0,4,2,FALSE
M,White,7/5/2000,,1967,,0,0,33.1953,0,0,0,0,4,,,0,1,,0,0,0,FALSE
