officer_id,gender,race,appointed_date,rank,active,birth_year,civilian_allegation_percentile,honorable_mention_count,internal_allegation_percentile,trr_count,allegation_count,sustained_count,civilian_compliment_count,current_badge,discipline_count,major_award_count,unsustained_count
28730,M,Hispanic,1996-07-08,Police Officer as Detective,Yes,1964,72.3141,30,61.1521,1,21,0,1,20458,0,0,11
28733,M,Hispanic,1999-11-15,Sergeant of Police,Yes,1968,53.0197,27,61.1521,3,7,0,6,1149,0,0,4
28734,M,Hispanic,1998-06-08,Police Officer,Yes,1968,61.9992,69,0.0000,3,9,1,1,14142,1,0,5
28736,M,Hispanic,1994-01-18,Police Officer,No,1954,86.8758,35,72.6238,2,31,0,8,3989,0,0,19
28739,F,Hispanic,1999-11-15,Sergeant of Police,Yes,1976,65.6966,38,61.1521,4,10,0,1,883,0,0,7
28748,M,Hispanic,1976-03-08,Sergeant of Police,No,1948,72.9050,6,90.7647,1,24,2,3,996,2,0,13
28752,M,Hispanic,2008-04-28,Police Officer,Yes,1982,43.8609,52,0.0000,6,2,0,12,14607,0,0,1
28753,M,Hispanic,2004-09-27,Police Officer,Yes,1974,80.5661,79,0.0000,6,10,0,5,18424,0,0,2
28756,M,Hispanic,2001-05-29,Police Officer,Yes,1978,51.5049,60,91.3893,8,8,0,9,7400,0,0,2
28757,M,Hispanic,2003-04-28,Police Officer,Yes,1969,55.7255,79,86.6653,19,7,0,2,2995,0,1,0
28760,M,Asian/Pacific,2002-09-30,Police Officer,Yes,1978,46.9454,23,0.0000,11,4,0,2,13888,1,0,2
28764,M,Hispanic,2004-11-29,Police Officer,No,1981,74.6150,94,76.8870,22,9,0,4,5399,0,0,4
28767,M,Hispanic,2012-10-31,Police Officer,Yes,1986,91.0704,25,0.0000,8,5,0,0,20987,0,0,0
28771,M,Hispanic,2009-12-16,Police Officer,Yes,1984,94.5386,120,86.7152,8,14,0,7,3561,0,0,2
28780,M,Hispanic,1997-07-07,Sergeant of Police,Yes,1969,53.0197,8,0.0000,2,6,0,3,2231,0,0,3
28784,M,Hispanic,2004-11-29,Police Officer,Yes,1980,85.7285,58,76.0763,15,13,1,1,13901,0,0,0
28795,M,White,2000-09-11,Police Officer,Yes,1976,88.4742,105,70.7644,8,20,0,9,14630,0,1,2
28805,M,White,1981-01-19,Police Officer,No,1953,98.6239,0,88.4491,0,123,5,0,,5,0,87
28812,M,White,1995-09-05,Police Officer / Explosives Detective Canine Handler,Yes,1973,74.8804,31,61.1521,2,18,1,4,8233,1,0,8
28828,M,Black,1998-12-14,Police Officer,Yes,1958,69.1001,18,61.1521,2,11,2,4,10010,1,0,2
28831,M,Black,2002-12-02,Police Officer,Yes,1970,47.1497,43,73.7393,0,5,1,1,6112,1,0,0
28838,M,White,2002-03-25,Police Officer,Yes,1978,90.4525,61,0.0000,5,19,0,8,16173,0,0,7
28867,M,White,1996-07-08,Police Officer,Yes,1969,97.5782,49,88.3297,11,49,1,8,19920,1,0,20
28871,M,White,2001-03-26,Police Officer,Yes,1971,97.1646,49,85.0558,4,35,0,7,16236,0,0,6
28872,F,Black,1999-11-29,Police Officer,Yes,1970,35.6089,1,0.0000,0,3,0,1,7431,0,0,2
28873,F,Black,1994-10-03,Police Officer,Yes,1963,57.7487,8,0.0000,0,13,0,3,18577,0,0,9
28878,M,White,2006-11-27,Police Officer,Yes,1983,98.3406,97,96.2328,23,30,1,3,17619,1,0,13
28879,M,White,2000-08-14,Police Officer,Yes,1977,99.2326,73,70.5551,17,54,0,6,5181,0,0,22
28926,M,White,1994-07-05,Police Officer,No,1961,82.9622,27,81.5627,19,12,0,2,7325,0,0,7
28934,M,White,1985-03-04,Police Officer,No,1958,32.6248,3,0.0000,1,20,3,1,5772,2,0,16
