officer_id,gender,race,appointed_date,rank,active,birth_year,civilian_allegation_percentile,honorable_mention_count,internal_allegation_percentile,trr_count,allegation_count,sustained_count,civilian_compliment_count,current_badge,discipline_count,major_award_count,unsustained_count
24636,M,White,2000-06-19,Police Officer,No,1952,94.1459,13,93.8919,7,25,1,3,16311,1,0,9
28347,M,Black,1988-12-05,Police Officer,No,1951,26.8584,11,0.0000,0,7,0,3,,0,0,2
7649,F,White,1986-10-13,Sergeant of Police,No,1961,51.2210,5,0.0000,2,7,0,2,2475,0,0,2
30464,M,Black,1993-11-22,Police Officer,No,1964,80.2438,1,89.9289,0,21,5,0,,4,0,8
32285,F,Hispanic,2000-06-19,Police Officer,Unknown,1973,44.2944,13,70.3408,0,5,0,2,20952,0,0,1
19305,M,Hispanic,2013-07-15,Police Officer,Yes,1980,73.5001,26,0.0000,4,3,0,2,17092,0,0,0
21987,M,Black,2003-02-24,Police Officer,Yes,1972,95.3109,68,92.5154,5,27,1,5,11773,1,0,4
28315,M,White,1999-03-08,Police Officer,Yes,1973,87.5224,110,0.0000,11,19,0,10,9203,0,0,6
13162,M,White,1999-07-12,Sergeant of Police,Yes,1964,85.1455,25,0.0000,1,19,1,5,1034,1,1,5
4508,M,Hispanic,2012-12-14,Police Officer,Yes,1983,46.4720,23,0.0000,5,1,0,2,10772,0,0,0
9643,M,Black,1986-06-16,Police Officer,No,1961,61.9992,10,0.0000,3,34,0,13,8274,0,0,21
4265,M,Hispanic,2006-01-23,Police Officer,Yes,1979,95.5850,94,0.0000,14,19,0,3,14027,0,0,4
16947,F,Black,1991-11-18,Police Officer,Yes,1966,0.0000,5,61.1521,1,1,1,4,17021,1,0,0
5758,M,Black,2000-12-18,Police Officer,Yes,1971,64.6950,64,71.2129,3,9,0,4,19108,0,0,2
10612,M,White,1985-09-09,Police Officer,No,1957,41.7514,5,0.0000,0,19,2,1,,2,0,12
6914,M,White,2012-10-31,Police Officer,Yes,1988,97.2942,39,0.0000,10,10,0,1,10529,0,0,1
9719,M,Black,2002-09-30,Police Officer,No,1962,46.9454,8,73.4652,3,5,1,2,19030,1,0,1
19636,M,Black,2005-10-31,Police Officer,Yes,1978,76.5597,92,77.1228,4,9,0,1,11826,0,0,2
