officer_id,gender,race,appointed_date,rank,active,birth_year,civilian_allegation_percentile,honorable_mention_count,internal_allegation_percentile,trr_count,allegation_count,sustained_count,civilian_compliment_count,current_badge,discipline_count,major_award_count,unsustained_count
21145,M,Hispanic,1995-01-03,Police Officer,Yes,1962,34.0541,3,87.0973,1,12,1,1,18553,1,0,8
21146,M,Hispanic,2013-12-02,Police Officer,Yes,1986,88.0307,9,0.0000,5,3,0,1,19727,0,0,0
21149,M,Hispanic,2000-10-10,Police Officer,Yes,1973,68.0885,112,84.7170,17,12,0,4,8819,0,0,2
21150,M,Hispanic,1988-01-25,Sergeant of Police,No,1958,79.3961,21,88.5408,1,64,3,0,1370,3,0,51
21151,M,Hispanic,2005-09-26,Police Officer,Yes,1978,71.8208,41,94.9920,9,10,0,3,13668,0,2,3
21156,F,White,2012-10-31,Police Officer,Yes,1974,66.8776,5,0.0000,0,2,0,1,6400,0,0,0
21157,M,Asian/Pacific,2016-02-29,Police Officer,Yes,1991,,2,,0,2,0,0,15998,0,0,1
21159,M,Hispanic,2006-08-28,Police Officer,Yes,1969,29.1260,44,0.0000,4,2,0,3,14715,0,1,1
21160,M,Hispanic,2000-01-24,Police Officer,Yes,1966,87.9360,115,0.0000,5,19,1,4,4362,1,0,6
21161,M,White,1999-06-21,Police Officer Assigned Evidence Technician,Yes,1967,83.7403,52,61.1521,2,18,1,1,14403,1,0,6
21162,M,White,2000-12-18,Police Officer,Yes,1977,44.8774,18,90.9906,3,7,0,1,5528,0,0,3
21164,M,Hispanic,2017-01-17,Police Officer,Yes,1990,,0,,0,1,0,0,18826,0,0,0
21165,M,White,2004-11-29,Police Officer,Yes,1977,77.3321,100,0.0000,15,9,0,5,8342,0,1,1
21168,M,White,2004-10-25,Police Officer,Yes,1979,64.5705,23,0.0000,2,7,1,4,6730,1,0,1
21169,M,Black,2000-12-18,Police Officer,Yes,1968,44.8774,13,84.8415,0,6,2,9,8123,2,0,1
21170,M,White,2001-08-27,Lieutenant of Police,Yes,1972,70.1565,45,0.0000,7,9,0,5,795,0,1,2
21172,M,White,1977-01-03,Police Officer,No,1955,33.1898,4,71.6395,1,7,0,4,10977,0,0,5
21174,F,White,2002-03-25,Police Officer,No,1977,0.0000,3,88.2349,1,1,0,2,14427,0,0,1
21176,M,White,1992-01-02,Police Officer,No,1965,41.5139,5,0.0000,1,12,1,3,13258,1,0,8
21178,F,Black,1991-01-02,Police Officer,No,1962,45.3498,2,92.8332,0,6,3,1,,2,0,2
21179,M,Black,1999-07-12,Sergeant of Police,Yes,1969,53.0197,10,61.1521,4,7,0,3,1171,0,0,5
21180,M,White,2000-09-11,Police Officer,Yes,1977,26.4501,10,70.7644,4,2,1,3,15825,1,0,0
21181,M,White,2000-10-10,Police Officer,Yes,1975,44.6332,57,70.9637,4,5,0,11,7162,0,0,3
21182,M,Hispanic,2016-06-27,Police Officer,Yes,1988,,3,,0,1,0,0,9185,0,0,0
21183,M,Black,1993-05-17,Sergeant of Police,Yes,1962,69.1001,45,61.1521,2,20,2,20,2573,2,1,6
21184,F,White,2006-08-28,Police Officer,Yes,1982,70.4206,24,0.0000,1,8,1,3,5695,0,0,0
21185,M,White,1980-01-28,"",No,1952,24.1180,0,0.0000,0,1,0,0,,0,0,0
21186,F,Hispanic,1987-04-13,Chief,No,1956,0.0000,2,74.6162,0,4,0,16,,0,0,1
21187,M,Black,2001-05-29,Police Officer,Yes,1964,61.1620,15,0.0000,5,7,0,5,9547,0,0,2
21188,F,Black,1991-02-27,Sergeant of Police,No,1966,57.7487,4,61.1521,0,19,0,5,2455,0,0,11
21189,F,Black,2002-09-30,Police Officer as Detective,Yes,1973,83.2769,22,86.2866,4,15,1,3,20158,0,0,1
21190,M,White,2013-11-04,Police Officer,Yes,1985,0.0000,16,0.0000,4,1,0,1,17365,0,0,0
21192,M,White,1977-11-01,Police Officer,No,1946,95.0429,2,0.0000,0,30,2,1,,2,0,18
21194,M,Black,1987-04-13,Police Officer,No,1964,61.9992,3,0.0000,1,32,0,1,13392,0,0,26
